,rounded_lat,rounded_lng,0
0,25.2,-81.0,2
1,25.5,-80.7,1
2,25.5,-80.4,3
3,25.8,-81.3,6
4,25.8,-81.0,2
5,25.8,-80.7,1
6,25.8,-80.4,1
7,26.1,-81.9,1
8,26.1,-81.6,4
9,26.1,-81.3,3
10,26.1,-81.0,2
11,26.1,-80.7,1
12,26.1,-80.4,1
13,26.1,-80.1,1
14,26.4,-81.6,1
15,26.4,-81.3,1
16,26.4,-80.4,1
17,26.4,-80.1,2
18,26.7,-81.9,4
19,26.7,-81.6,1
20,26.7,-80.7,1
21,26.7,-80.1,3
22,27.0,-82.5,1
23,27.0,-82.2,2
24,27.0,-81.9,3
25,27.0,-81.6,1
26,27.0,-80.4,2
27,27.0,-80.1,1
28,27.3,-82.5,2
29,27.3,-82.2,1
30,27.3,-81.9,1
31,27.3,-81.3,1
32,27.3,-81.0,2
33,27.3,-80.7,1
34,27.6,-82.5,2
35,27.6,-80.7,1
36,27.9,-82.5,1
37,27.9,-82.2,1
38,27.9,-81.9,7
39,27.9,-81.6,1
40,27.9,-81.3,2
41,27.9,-81.0,1
42,27.9,-80.7,1
43,28.2,-82.8,3
44,28.2,-82.5,3
45,28.2,-82.2,1
46,28.2,-81.6,1
47,28.2,-81.3,1
48,28.2,-81.0,3
49,28.2,-80.7,2
50,28.5,-82.5,4
51,28.5,-82.2,4
52,28.5,-81.9,5
53,28.5,-81.6,1
54,28.5,-81.3,1
55,28.5,-81.0,8
56,28.5,-80.7,1
57,28.8,-97.2,1
58,28.8,-96.0,1
59,28.8,-82.5,3
60,28.8,-82.2,2
61,28.8,-81.9,4
62,28.8,-81.6,5
63,28.8,-81.3,3
64,28.8,-81.0,1
65,28.8,-80.7,1
66,29.1,-100.5,1
67,29.1,-96.6,1
68,29.1,-96.3,1
69,29.1,-96.0,1
70,29.1,-95.4,1
71,29.1,-83.1,1
72,29.1,-82.8,3
73,29.1,-82.5,3
74,29.1,-82.2,1
75,29.1,-81.9,9
76,29.1,-81.6,8
77,29.1,-81.3,3
78,29.1,-81.0,2
79,29.4,-98.7,1
80,29.4,-98.1,1
81,29.4,-97.8,2
82,29.4,-97.5,1
83,29.4,-96.3,1
84,29.4,-90.6,1
85,29.4,-82.8,4
86,29.4,-82.5,3
87,29.4,-81.9,3
88,29.4,-81.6,3
89,29.4,-81.0,6
90,29.7,-98.7,1
91,29.7,-98.1,2
92,29.7,-85.2,1
93,29.7,-83.1,1
94,29.7,-82.8,1
95,29.7,-82.5,3
96,29.7,-82.2,2
97,29.7,-81.9,2
98,29.7,-81.6,2
99,29.7,-81.3,1
100,30.0,-95.4,1
101,30.0,-94.8,4
102,30.0,-93.9,1
103,30.0,-85.5,1
104,30.0,-85.2,1
105,30.0,-84.0,1
106,30.0,-83.4,1
107,30.0,-83.1,1
108,30.0,-82.5,1
109,30.0,-81.9,17
110,30.0,-81.6,1
111,30.0,-81.3,3
112,30.3,-98.1,1
113,30.3,-96.6,1
114,30.3,-95.7,1
115,30.3,-95.4,3
116,30.3,-95.1,4
117,30.3,-94.8,3
118,30.3,-93.9,3
119,30.3,-92.7,1
120,30.3,-90.9,1
121,30.3,-89.7,1
122,30.3,-88.8,1
123,30.3,-85.8,1
124,30.3,-85.5,2
125,30.3,-84.0,1
126,30.3,-82.8,3
127,30.3,-82.2,1
128,30.3,-81.9,2
129,30.3,-81.6,3
130,30.3,-81.3,1
131,30.6,-100.5,1
132,30.6,-96.6,1
133,30.6,-96.3,1
134,30.6,-95.7,5
135,30.6,-95.4,3
136,30.6,-95.1,3
137,30.6,-94.8,3
138,30.6,-94.5,1
139,30.6,-93.9,1
140,30.6,-93.6,1
141,30.6,-91.8,1
142,30.6,-90.9,1
143,30.6,-90.6,1
144,30.6,-89.7,1
145,30.6,-88.2,1
146,30.6,-87.9,1
147,30.6,-86.7,3
148,30.6,-86.4,2
149,30.6,-85.5,2
150,30.6,-85.2,1
151,30.6,-84.9,1
152,30.6,-84.6,2
153,30.6,-84.3,1
154,30.6,-83.7,1
155,30.6,-83.4,2
156,30.6,-81.9,1
157,30.6,-81.3,1
158,30.9,-103.8,1
159,30.9,-95.7,2
160,30.9,-94.5,2
161,30.9,-93.9,1
162,30.9,-93.6,2
163,30.9,-92.7,1
164,30.9,-91.2,1
165,30.9,-89.7,1
166,30.9,-89.1,1
167,30.9,-87.3,2
168,30.9,-87.0,3
169,30.9,-86.7,1
170,30.9,-86.1,2
171,30.9,-85.8,2
172,30.9,-85.5,1
173,30.9,-85.2,1
174,30.9,-84.9,1
175,30.9,-82.5,1
176,31.2,-102.6,1
177,31.2,-102.3,1
178,31.2,-98.1,1
179,31.2,-95.7,1
180,31.2,-95.1,1
181,31.2,-94.8,1
